City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,margaret river,-33.95,115.0667,13.69,65,75,5.55,AU,1698708959
163,usogorsk,63.4106,48.6872,-3.52,83,100,1.06,RU,1698708891
164,porto novo,6.4965,2.6036,23.9,84,94,2.38,BJ,1698709173
165,colonia,50.9333,6.95,13.1,86,75,9.77,DE,1698709088
166,arraial do cabo,-22.9661,-42.0278,23.98,88,0,3.09,BR,1698708918
167,antofagasta,-23.65,-70.4,17.6,70,33,1.97,CL,1698709173
168,pervomayskoye,43.919,46.7102,13.49,84,10,5.59,RU,1698709174
169,lesnoy,57.6198,63.0784,-7.4,98,92,0.87,RU,1698709174
170,tralee,52.2704,-9.7026,7.75,92,15,1.82,IE,1698708930
171,carnarvon,-24.8667,113.6333,22.35,58,0,6.84,AU,1698708871
172,nova sintra,14.8667,-24.7167,23.1,71,70,1.79,CV,1698708672
173,pointe aux piments,-20.0628,57.5131,24.31,77,5,6.13,MU,1698709174
174,songea,-10.6833,35.65,19.55,81,100,3.65,TZ,1698709174
175,santo antonio do leverger,-15.8656,-56.0767,26.21,66,90,3.7,BR,1698709174
176,santana,-0.0583,-51.1817,31.1,58,0,5.66,BR,1698709174
177,luderitz,-26.6481,15.1594,16.46,51,1,5.99,NA,1698709075
178,fort mcmurray,56.7268,-111.381,-2.23,59,75,2.57,CA,1698709050
179,golere,16.2557,-14.1017,33.16,22,26,2.92,SN,1698709175
180,kununurra,-15.7667,128.7333,28.99,70,63,3.6,AU,1698709036
181,sinabang,2.4803,96.3801,25.18,86,99,1.68,ID,1698708570
182,nombre de dios,23.85,-104.2333,22.75,67,54,6.53,MX,1698709175
183,prince rupert,54.3161,-130.3201,7.05,71,0,2.57,CA,1698709175
184,whitehorse,60.7161,-135.0538,2.23,93,100,3.6,CA,1698708914
185,surskoye,54.4821,46.7214,6.29,95,100,5.62,RU,1698709175
186,egilsstadir,65.2653,-14.3948,-5.05,86,0,2.57,IS,1698708927
187,haiku-pauwela,20.9219,-156.3051,28.01,66,20,8.23,US,1698709045
188,acarau,-2.8856,-40.12,26.77,76,85,9.45,BR,1698708830
189,kone,-21.0595,164.8658,27.49,42,94,2.41,NC,1698709176
190,paracuru,-3.41,-39.0306,27.84,74,77,4.93,BR,1698708931
191,kavieng,-2.5744,150.7967,27.14,79,90,3.38,PG,1698709176
192,el campo,29.1966,-96.2697,8.23,63,98,7.2,US,1698709176
193,broken hill,-31.95,141.4333,15.99,44,83,7.17,AU,1698708843
194,lata,40.1629,-8.3327,11.71,92,93,1.69,PT,1698708959
195,sorong,-0.8833,131.25,27.67,76,80,2.57,ID,1698709176
196,changji,44.0167,87.3167,14.44,47,0,8.0,CN,1698709176
197,kingston,17.997,-76.7936,28.53,85,40,3.09,JM,1698708889
198,tammun,32.2835,35.3837,22.14,47,100,3.9,PS,1698709177
199,san patricio,28.017,-97.5169,9.91,58,100,7.75,US,1698709177
200,coquimbo,-29.9533,-71.3436,15.85,77,0,5.66,CL,1698709020
201,borkum,53.5809,6.6915,10.97,91,100,2.32,DE,1698709177
202,harper,4.375,-7.7169,24.46,94,90,0.34,LR,1698709099
203,chipinge,-20.1883,32.6236,11.66,89,100,2.19,ZW,1698709177
204,amahai,-3.3333,128.9167,28.96,67,69,0.54,ID,1698709177
205,wenchang,30.904,118.4887,19.13,55,0,1.36,CN,1698709148
206,jamestown,42.097,-79.2353,5.77,86,100,6.17,US,1698708799
207,aral,40.5156,81.2636,12.69,32,62,0.97,CN,1698709178
208,belle plaine,44.6227,-93.7686,3.5,63,85,6.19,US,1698709178
209,felixstowe,51.9637,1.3511,9.9,86,98,0.45,GB,1698708888
